Date,Color,color,base_color,simple_color,single_color,color_has_multi,color_has_blue,color_has_orange,color_has_red,color_has_grey,color_has_gold,color_has_white,color_has_tan,color_has_brown,color_has_black,Breed,Purebred,CKC Class,ckc_class,Sex,State,Name,DateCreated
2014-02-12,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,DSH,DSH Cat,,,F/S,lost,Fuzzy,2014-02-14
2014-02-15,Golden,Golden,gold,gold,gold,0,0,0,0,0,1,0,0,0,0,Water Spaniel,Water Spaniel,Sporting Dog,sporting,F,lost,Mikki,2014-02-15
2014-02-16,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Miniature Pinscher,Miniature Pinscher,Toy Dog,toy,M,lost,Brodie,2014-02-16
2014-02-16,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Chihuahua,Chihuahua,Toy Dog,toy,X,lost,,2014-02-16
2014-02-17,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,DSH,DSH Cat,,,M,lost,,2014-02-17
2014-02-14,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,DMH Cat,DMH Cat,,,M,lost,Pinky/Rocky,2014-02-17
2014-02-15,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,DMH Cat,DMH Cat,,,M,lost,Choxie,2014-02-18
2014-02-20,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Silky Terrier,Silkie Terrier,Toy Dog,toy,M,lost,Charlie,2014-02-20
2014-02-21,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,DSH Cat,DSH Cat,,,M,lost,,2014-02-21
2014-02-22,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,M,lost,Gus,2014-02-22
2014-02-27,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Pit X,Dog Crossbreed,Dog Crossbreed,crossbreed,F/S,lost,Rossi,2014-02-27
2014-03-02,Golden,Golden,gold,gold,gold,0,0,0,0,0,1,0,0,0,0,Calico Tabby Cat,Calico Cat,,,F,lost,Crickett,2014-03-02
2014-03-03,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Tabby,Tabby Cat,,,M/N,lost,Dexter,2014-03-03
2014-03-03,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,M/N,lost,Biggie,2014-03-04
2014-03-05,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Short Haired Tabby Cat,Tabby Cat,,,F/S,lost,Jewles,2014-03-05
2014-03-06,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Pitbull,Pitbull,Terrier,terrier,M,lost,Zues,2014-03-06
2014-03-09,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Beagle,Beagle,Hound,hound,F,lost,Dobby,2014-03-09
2014-03-10,Tan,Tan,tan,tan,tan,0,0,0,0,0,0,0,1,0,0,Bull Mastiff,Bull Mastiff,Working Dog,working,F,lost,Cassie,2014-03-10
2014-03-12,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Mixed Breed Cat,Cat,,,M,lost,Basil,2014-03-12
2014-03-13,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Bengal,Bengal Cat,,,M,lost,Buddy,2014-03-13
2014-03-13,Red,Red,red,red,red,0,0,0,1,0,0,0,0,0,0,Amer. Staffordshire,American Staffordshire,Terrier,terrier,F/S,lost,Taya,2014-03-13
2014-03-14,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Husky,Husky,Working Dog,working,F/S,lost,Garbo,2014-03-14
2014-03-17,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Chihuahua,Chihuahua,Toy Dog,toy,M,lost,Toby,2014-03-17
2014-03-17,Apricot,Apricot,orange,orange,orange,0,0,1,0,0,0,0,0,0,0,Calico Cat,Calico Cat,,,F,lost,Bubba,2014-03-17
2014-03-19,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Newfoundland,Newfoundland,Working Dog,working,F,lost,Bertha,2014-03-19
2014-03-19,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,DLH Himalayan,Himalayan Cat,,,F/S,lost,Neko,2014-03-19
2014-03-16,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,,,,,M,lost,Benny,2014-03-20
2014-03-20,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Boston Terrier,Boston Terrier,Non-Sporting Dog,nonsporting,M,lost,Louie,2014-03-20
2014-03-21,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Border Collie,Border Collie,Herding Dog,herding,F,lost,Tika,2014-03-21
2014-03-22,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,French Bulldog,French Bulldog,Non-Sporting Dog,nonsporting,M,lost,Monster,2014-03-22
2014-03-18,Red,Red,red,red,red,0,0,0,1,0,0,0,0,0,0,Ferret,Ferret,,,M,lost,Frank,2014-03-22
2014-03-22,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Beagle,Beagle,Hound,hound,M,lost,Maxie,2014-03-22
2014-03-23,Tan,Tan,tan,tan,tan,0,0,0,0,0,0,0,1,0,0,Yorkshire Terrier,Yorkshire Terrier,Toy Dog,toy,F/S,lost,Mui-Mui,2014-03-23
2014-03-24,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Lab X,Dog Crossbreed,Dog Crossbreed,crossbreed,F/S,lost,Lucero,2014-03-24
2014-03-23,Golden,Golden,gold,gold,gold,0,0,0,0,0,1,0,0,0,0,Pomeranian,Pomeranian,Toy Dog,toy,F,lost,Minnie,2014-03-24
2014-03-24,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,F,lost,Sadie,2014-03-24
2014-03-25,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Beagle,Beagle,Hound,hound,M/N,lost,Maxie,2014-03-25
2014-03-25,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,DSH,DSH Cat,,,M,lost,Unknown,2014-03-25
