Date,Color,Breed,Sex,State,Name,DateCreated
2014-04-13,White,Chihuahua,M,Lost,Smudge,2014-04-13
2014-04-13,,Muted calico,F,Lost,Nora,2014-04-13
2014-04-13,Grey,Maincoon.,M,Lost,Max,2014-04-13
2014-04-14,Black,DSH,M/N,Lost,,2014-04-14
2014-04-16,Brown,Chihuahua,F/S,Lost,Lucia,2014-04-16
2014-04-17,Black,Chihuahua,M,Lost,Kashi,2014-04-17
2014-04-17,Black,Aust. Shepherd,F,Lost,Bali,2014-04-17
2014-04-17,Red,Chihuahua,M,Lost,,2014-04-17
2014-04-19,Tan,Yorkie X,M,Lost,Kobe,2014-04-19
2014-04-20,Tan,Chihuahua,F,Lost,Lucia,2014-04-20
2014-04-20,Cream,Shih Tzu,M,Lost,Maisi,2014-04-20
2014-04-22,,.Unknown Breed Mix,M/N,Lost,,2014-04-22
2014-04-22,Black,Germ. Shepherd,M/N,Lost,Bing Lee,2014-04-23
2014-04-23,White,Miniature Poodle,M/N,Lost,Buddy,2014-04-23
2014-04-23,Black,Shih Tzu,M,Lost,Lancelot,2014-04-23
2014-04-23,Black,Shepherd X,F,Lost,Seeker,2014-04-23
2014-04-24,Cream,Cocker Spaniel,M/N,Lost,Chilly Bear,2014-04-24
2014-04-24,Black,.Unknown Breed Mix,F/S,Lost,Not given,2014-04-24
2014-04-25,Black,Germ. Shepherd,M/N,Lost,Avery,2014-04-25
2014-04-25,Golden,Goldendoodle,M,Lost,Sam,2014-04-25
2014-04-25,Brown,Chihuahua,M,Lost,JoJo,2014-04-26
2014-04-26,Brown,Abyssinian,F,Lost,,2014-04-26
2014-04-27,Black,Shih Tzu,F,Lost,Flower Pot,2014-04-27
2014-04-27,Brown,Boston Terrier,F,Lost,,2014-04-27
2014-04-29,Cream,Siamese,M,Lost,Sparkles,2014-04-29
2014-04-29,White,DMH,M/N,Lost,Gazoo,2014-04-29
2014-04-29,Black,Collie,F/S,Lost,Cassidy,2014-04-29
2014-04-30,Black,Bullmastiff,M,Lost,Rosco,2014-04-30
2014-05-01,Grey,Long hair,M,Lost,Timmy,2014-05-01
2014-05-01,Black,Toy Poodle,M,Lost,Oliver,2014-05-01
2014-04-18,Black,DSH,F/S,Lost,Miso,2014-05-01
2014-05-02,Grey,Tabby,M,Lost,Simon,2014-05-02
2014-05-03,Golden,Persian,M,Lost,Persy,2014-05-03
2014-05-04,Black,.Unknown Breed Mix,F,Lost,Chill,2014-05-04
2014-05-04,Black,Terrier,M,Lost,Blacky,2014-05-04
2014-05-05,Black,Germ. Shepherd,M,Lost,Bailey,2014-05-05
2014-05-06,Grey,.Unknown Breed Mix,F,Lost,lola,2014-05-06
2014-05-06,Orange.,.Unknown Breed Mix,M,Lost,,2014-05-06
2014-05-06,Black,Shih Tzu,F/S,Lost,Cookie,2014-05-06
2014-05-07,White,Jack Russell Terrier,F,Lost,Stitch,2014-05-07
2014-05-07,Black,Lab X,,Lost,,2014-05-07
2014-05-08,Black,,M,Lost,Louie,2014-05-08
2014-05-08,Brown,Tabby,M,Lost,copper,2014-05-08
2014-05-08,White,Pit Bull,M,Lost,Dic,2014-05-08
2014-05-08,Black,Shih Tzu,F,Lost,Brittney,2014-05-08
2014-05-08,Grey,Weimaraner,M,Lost,Nova,2014-05-08
2014-05-09,White,Pit Bull,M,Lost,Dick,2014-05-09
2014-05-10,Black,DSH,F,Lost,Kat,2014-05-10
2014-05-11,White,,F,Lost,tofu,2014-05-11
2014-05-11,White,Aust. Shepherd,M,Lost,,2014-05-11
2014-05-11,Black,Yorkshire Terrier,M,Lost,Buddy,2014-05-11
2014-05-12,Yellow,,M/N,Lost,,2014-05-12
2014-04-25,Black,Chihuahua,F,Lost,Ruby,2014-05-12
2014-05-13,Orange tabby,,M,Lost,Chibi,2014-05-13
2014-05-13,Red,Pomeranian,F,Lost,Sugar,2014-05-13
2014-05-13,Black,Boxer,F/S,Lost,Maggie,2014-05-13
2014-05-14,White,Maltese,M,Lost,,2014-05-14
2014-05-14,White,Cocker Spaniel,F,Lost,Nova,2014-05-14
2014-05-14,Grey,tabby,F/S,Lost,Luvie,2014-05-14
2014-05-15,Black,Yorkie X,F,Lost,Peanut,2014-05-15
2014-05-15,Grey,Miniature Poodle,M/N,Lost,Toto,2014-05-15
2014-05-16,Black,Chihuahua,F,Lost,Ducky,2014-05-16
2014-05-16,Black,DSH,M,Lost,Capone,2014-05-16
2014-05-17,White,Bichon Frise,M,Lost,Chewy,2014-05-17
2014-05-17,White,Toy Poodle,F,Lost,Bobo,2014-05-17
2014-05-18,Brown,Chihuahua,F,Lost,Chichi,2014-05-18
2014-05-18,White,Hound,F,Lost,Luna,2014-05-18
2014-05-19,"""Rust""",Vizsla,M,Lost,Trigger,2014-05-19
2014-05-20,Brown,Yorkshire Terrier,M,Lost,Cashmere,2014-05-20
2014-05-20,Black,DMH,F/S,Lost,Millie,2014-05-20
2014-05-20,White,Beagle,M,Lost,Maxie,2014-05-20
2014-05-20,Grey,Cat,M/N,Lost,Oliver,2014-05-20
2014-05-20,White,Cat,F,Lost,Vinegar,2014-05-20
2014-05-18,Brown,Tabby,F/S,Lost,Ginger,2014-05-20
2014-05-20,Brown,Beagle,M,Lost,Henry,2014-05-20
2014-05-21,Black,Cat,M,Lost,Elais,2014-05-21
2014-05-21,Fawn,Pug,M,Lost,Bogart,2014-05-21
2014-05-22,White,Corgi,M,Lost,Lyrus,2014-05-22
2014-05-23,Brown,Cat,M,Lost,Ivan,2014-05-23
2014-05-24,Tan,Pit X,X,Lost,Not Provided,2014-05-24
2014-05-26,Brown,Tabby,M,Lost,Teddy,2014-05-26
2014-05-26,Black,Lab X,M,Lost,Dhillion,2014-05-26
2014-05-28,Red,Staffordshire Bull Terrier,F,Lost,Taya,2014-05-28
2014-05-30,,DSH Cat,F,Lost,Ruckie,2014-05-30
2014-05-30,Black,DSH Cat,M,Lost,,2014-05-30
2014-05-30,White,Chihuahua,F,Lost,Missy,2014-05-30
2014-05-30,Brown,Chihuahua,M,Lost,Rocko,2014-05-30
2014-05-30,Black,Doberman Pinscher,,Lost,Duke,2014-05-30
2014-05-30,Brown,Miniature Pinscher,M,Lost,Milo,2014-05-30
2014-05-31,Brown,Miniature Pinscher,M,Lost,Milo,2014-05-31
2014-05-31,Black,Germ. Shepherd,M,Lost,Max,2014-05-31
2014-05-31,Red,Vizsla,M,Lost,Wesley,2014-05-31
2014-05-31,Brown,Shiba Inu,M,Lost,Natsuo,2014-05-31
2014-06-01,Black,Cat,M,Lost,Little Man,2014-06-01
2014-06-03,White,.Unknown Breed Mix,,Lost,,2014-06-02
2014-06-02,Brown,Tabby,M,Lost,Max,2014-06-02
2014-06-04,Red,Lab X,M,Lost,Jones,2014-06-04
2014-06-05,Black,Terrier,M,Lost,Elvis,2014-06-05
2014-06-06,Black,Rottweiler,F,Lost,Legend,2014-06-06
2014-06-06,Orange,Naine Coon,X,Lost,Unknown,2014-06-06
2014-06-06,Peach face,Lovebird,F,Lost,,2014-06-06
2014-06-07,Grey,Tabby,M,Lost,Kasey,2014-06-07
2014-06-07,Black,DSH Cat,M,Lost,Charlie,2014-06-07
2014-06-07,White,DSH,M,Lost,Charlie,2014-06-07
2014-06-08,,Lovebird,X,Lost,Jerk,2014-06-08
2014-06-08,Brown,Shepherd,M,Lost,Benji,2014-06-08
2014-06-09,Black,Tuxedo,F,Lost,,2014-06-09
2014-06-09,Black,Amer. Staffordshire,,Lost,Rossi,2014-06-09
2014-06-10,Orange,Ginger Tabby,,Lost,Toto,2014-06-10
2014-06-10,Black,Husky X,F/S,Lost,Eclipse,2014-06-11
2014-06-11,,Tuxedo Black and White,F/S,Lost,,2014-06-11
2014-06-11,,Bengal part Tabby,F,Lost,Nala,2014-06-11
2014-06-12,Brown,Shih Tzu,M,Lost,Toby,2014-06-12
2014-06-12,Grey,,M,Lost,Gabriel,2014-06-12
2014-06-14,Black,Chihuahua,M,Lost,Jaxon,2014-06-14
2014-06-15,Black,Yorkie X,M,Lost,Carter,2014-06-15
2014-06-15,Grey,DLH,F/S,Lost,Lacey,2014-06-15
2014-06-16,Brown,Labrador,M,Lost,Charlie,2014-06-16
2014-06-16,Brindle with white face tummy,Staffordshire Bull Terrier,F,Lost,Harriet.,2014-06-16
2014-06-17,Black,,F,Lost,Motor,2014-06-17
2014-06-18,White,Red Heeler,M/N,Lost,Lyrus,2014-06-18
2014-06-21,Brown,Labrador,M,Lost,Beamer,2014-06-21
2014-06-21,White,Lab X,F,Lost,Kai,2014-06-21
2014-06-22,Tan,Pit Bull,M,Lost,Geno,2014-06-22
2014-06-23,Grey,DSH,M,Lost,William,2014-06-23
2014-06-24,Grey,American Curl,M,Lost,Jackson,2014-06-24
2014-06-25,Grey,,F,Lost,Lala,2014-06-25
2014-06-25,Red,Shiba Inu,M,Lost,Sky,2014-06-25
2014-06-26,Green,Alexandrian,X,Lost,Sylvia,2014-06-26
2014-06-25,Black,,F/S,Lost,Sparkle,2014-06-26
2014-06-26,Brown,,F/S,Lost,Poppy,2014-06-27
2014-06-27,Tan,Lab X,M,Lost,Luc,2014-06-27
2014-06-27,White,Jack Russell Terrier,F,Lost,Oglie,2014-06-27
2014-06-25,Black,,F/S,Lost,Abby (Abigail),2014-06-28
2014-06-29,White,Labradoodle,,Lost,Bilu,2014-06-29
2014-06-30,Grey,Grey tabby,M,Lost,Sax,2014-06-30
2014-06-30,Tan,Pit Bull,M,Lost,Louie,2014-06-30
2014-07-01,Grey,Cat,M,Lost,Mumu,2014-07-01
2014-06-28,Grey,DSH Manx,F,Lost,Mimi,2014-07-01
2014-07-02,Calico,DSH,F/S,Lost,Catty,2014-07-02
2014-07-03,Grey,Blue Heeler,M,Lost,Taz,2014-07-03
2014-07-02,White,Chihuahua,M,Lost,Rocky,2014-07-03
2014-07-03,Tan,Chow Chow,F/S,Lost,Little Red,2014-07-03
2014-07-03,Brindle with white,Pit Bull,F,Lost,Keisha,2014-07-03
2014-07-05,Brown,Miniature Pinscher,M,Lost,Benito,2014-07-05
2014-07-05,Grey,Tabby,F,Lost,Mitt,2014-07-05
2014-07-06,Grey,Tabby/Ragdoll,F,Lost,Whiskey,2014-07-06
2014-06-28,Black,,M/N,Lost,,2014-07-06
2014-07-06,Black,French Bulldog,M,Lost,Louie,2014-07-06
2014-07-07,Black,.Unknown Breed Mix,,Lost,Mino,2014-07-07
2014-07-07,Apricot,DSH Tabby,M,Lost,Horasce,2014-07-07
2014-07-08,White,DSH,M/N,Lost,Max,2014-07-08
2014-07-09,White,"Tabby, white, orange, black",M,Lost,Baby,2014-07-09
2014-07-09,orange tabby,.Unknown Breed Mix,X,Lost,,2014-07-09
2014-07-10,Orange Tabby,Tabby,M,Lost,N/A,2014-07-10
2014-07-10,Orange DSH,DSH,M,Lost,Alf,2014-07-10
2014-07-10,Black,DSH,F,Lost,Two Cheeks,2014-07-10
2014-07-10,Brown,Brown grey tabby,M/N,Lost,William,2014-07-10
2014-07-11,White,Mutt,F,Lost,Dandan,2014-07-11
2014-07-10,Grey,Siamese,F/S,Lost,Pixie,2014-07-11
2014-07-12,Black,Jack Russell Terrier,M,Lost,Jasper,2014-07-12
2014-07-12,White,Jack Russell Terrier,M,Lost,Jasper,2014-07-12
2014-07-12,,Black w torn left ear,M,Lost,Nelly,2014-07-13
2014-07-13,Black,Miniature Schnauzer,M,Lost,Nitro,2014-07-13
2014-07-14,White,.Unknown Breed Mix,M,Lost,Charlie,2014-07-14
2014-07-14,Brown,Boston Terrier,F/S,Lost,Nala,2014-07-14
2014-07-15,Orange,Cat,M,Lost,Rocky,2014-07-15
2014-07-15,Cream,Pug,F/S,Lost,Marley,2014-07-15
2014-07-15,Orange/White,Tabby,M,Lost,Unknown,2014-07-15
2014-07-15,Black,Yorkshire Terrier,M,Lost,Rusesel,2014-07-15
2014-07-13,Golden,Yorkie X,,Lost,Toby,2014-07-16
2014-07-16,,Black cat,M,Lost,Henry,2014-07-17
2014-07-18,Brown,Labrador,M/N,Lost,Bruno,2014-07-18
2014-07-18,Grey,Wheaten Terrier,F,Lost,Sophie,2014-07-18
2014-07-18,Black,Black cat,F,Lost,Buddug,2014-07-19
2014-07-19,White,Border Collie,M,Lost,Ike,2014-07-19
2014-07-20,Black,Cat w kinked tail,M,Lost,Fly,2014-07-20
2014-07-20,White,Pit Bull,M,Lost,Forte,2014-07-20
2014-07-21,Grey,Cat,X,Lost,?,2014-07-21
2014-07-21,Black,Japanese Chin,M,Lost,Bobbaloui,2014-07-21
2014-07-21,Black,Cat,,Lost,Casino,2014-07-21
2014-07-22,Grey,DSH,,Lost,Perry,2014-07-22
2014-07-22,Black,Labrador,M,Lost,Farley,2014-07-22
2014-07-23,White,Japanese Chin,M,Lost,Snuffles,2014-07-23
2014-07-23,Black,DSH,M,Lost,Bruno,2014-07-23
2014-07-23,Grey,Tabby,M,Lost,Gidash,2014-07-23
2014-07-23,Grey,Tabby,F,Lost,Jesse,2014-07-23
2014-07-23,"Pearl grey, white spots, yello",Cockatiel,F,Lost,Latisha,2014-07-23
2014-07-26,Grey,Tabby kitten,M,Lost,Not provided,2014-07-26
2014-07-26,White,Pomeranian,F,Lost,Princess,2014-07-26
2014-07-27,Black,"Black cat, white paws",,Lost,Name not given,2014-07-27
2014-07-26,Black,Blue Heeler,M,Lost,Porter,2014-07-27
2014-07-27,Brown,Burmese Cat,F,Lost,Creature,2014-07-27
2014-07-27,Brown,Cairn Terrier,,Lost,Ginger,2014-07-27
2014-07-28,Black,Dachshund,M,Lost,jake.,2014-07-28
2014-07-28,Black,Rhode Island (Chicken),X,Lost,Rosco & waffles,2014-07-28
2014-07-28,White,DSH,F,Lost,Grace,2014-07-28
2014-07-28,Black,Miniature Pinscher,M,Lost,scrappy,2014-07-28
2014-07-28,Tan,Pomeranian,F,Lost,Bubbaloo,2014-07-28
2014-07-28,Tan,Chihuahua,F,Lost,Tika,2014-07-28
2014-07-29,Black,Miniature Pinscher,M/N,Lost,Scrappy (aka Scrappy Doo),2014-07-29
2014-07-29,Black,DSH,X,Lost,Unknown,2014-07-29
2014-07-29,,Miniature Poodle X,F/S,Lost,Lola,2014-07-29
2014-07-29,Grey,DSH,,Lost,Bandit,2014-07-29
2014-07-29,Black,Jack Russell Terrier,M,Lost,Unknown,2014-07-29
2014-07-31,,Black w white on neck,F,Lost,Didn't say,2014-07-31
2014-07-31,White,Toy Poodle,F/S,Lost,Bobo,2014-07-31
2014-08-01,Black,DSH,F,Lost,Tonchi,2014-08-01
2014-08-01,White,Maltese,F,Lost,Lemon,2014-08-01
2014-08-03,Apricot,Long-hair tabby,M,Lost,Whalley,2014-08-02
2014-08-02,Grey,Long Haired,M,Lost,Cocoa,2014-08-02
2014-08-02,Black,Chihuahua,F,Lost,Teela,2014-08-02
2014-08-03,"Green, Black, cream",Carpet Python Snake,M,Lost,Murmur,2014-08-03
2014-08-03,Grey,Tabby,M/N,Lost,Tigger,2014-08-03
2014-08-03,Black,Germ. Shepherd,F,Lost,Hailey,2014-08-03
2014-08-03,White,Budgie,F,Lost,No name given,2014-08-03
2014-08-04,Pibolt brown/white/grey/black,Miniature Jackson,M,Lost,Russell,2014-08-04
2014-08-04,Brown,Himalayan,M,Lost,Pepsi,2014-08-04
2014-08-05,Brown,Himalayan,F,Lost,Creature,2014-08-05
2014-08-05,White,Shih Tzu,M,Lost,Buddy,2014-08-05
2014-08-05,Brown,Cocker Spaniel,F,Lost,Gina,2014-08-05
2014-08-01,Cream,Small 1yr old cat,F,Lost,None given,2014-08-07
2014-08-03,Brown,Dachshund,M/N,Lost,Russell,2014-08-07
2014-08-07,Black,Boston Terrier,F,Matched,Princess,2014-08-07
2014-08-08,Black,DSH cat,F,Lost,Buttons,2014-08-08
2014-08-08,Brown,Burmese cat,F,Lost,Creature,2014-08-08
2014-08-08,Grey,Two rabbits,X,Lost,,2014-08-09
2014-08-09,Black,Lab X,F,Lost,Cypress,2014-08-09
2014-08-09,Black,Yorkshire Terrier,M,Lost,Pepsi,2014-08-09
2014-08-08,Grey,Tabby,M,Lost,Buddy,2014-08-10
2014-08-10,Brown,Shepherd X,M,Matched,Hank,2014-08-10
2014-08-10,Black,Pit Bull,M,Matched,Duke,2014-08-10
2014-08-10,Black,tabby Grey black brown,M,Lost,Buddy,2014-08-10
2014-08-11,Grey,Grey cat,M,Lost,,2014-08-11
2014-08-11,Brown,Shih Tzu,M,Matched,Milo,2014-08-11
2014-08-12,Cream,Pomeranian,F,Lost,Tinkerbell,2014-08-12
2014-08-12,Black,dusky pionus parrot,F,Lost,Lucky,2014-08-12
2014-08-12,Grey,tabby short haireds,M,Matched,kiki,2014-08-12
2014-08-12,Black,calico,F/S,Lost,Kodiac,2014-08-12
2014-08-12,Cream,Maltipoo,F,Matched,Shinovi,2014-08-12
2014-08-13,White,French Poodle,F,Lost,Jolie,2014-08-13
2014-08-13,White,Budgie,X,Lost,,2014-08-13
2014-08-13,Brown,Labrador,F,Lost,muna,2014-08-13
2014-08-14,Brown,Dachshund,M,Lost,russell,2014-08-14
2014-08-14,Grey,Lhasa Apso,M,Matched,Kobe,2014-08-14
2014-08-14,Black,Calico,F/S,Lost,Purrberry,2014-08-14
2014-08-14,Grey,Weimaraner,M,Matched,Baxter,2014-08-14
2014-08-14,Grey,Siberian Husky,M,Lost,Askim,2014-08-14
2014-08-13,White,DSH,F,Lost,Princess,2014-08-14
2014-08-14,Brown,,M,Lost,Max,2014-08-14
2014-08-15,Black,Husky,M,Matched,Cyber,2014-08-15
2014-08-15,White,Samoyed,F,Lost,Zoe,2014-08-15
2014-08-16,White,Persian,F,Lost,Lilly,2014-08-16
2014-08-16,Light orange/ white feet/tummy,DSH,F/S,Lost,Honeypie,2014-08-16
2014-08-17,Grey,Poodle X,F,Matched,Aspen,2014-08-17
2014-08-16,White,Pomeranian,M,Lost,DuDu,2014-08-17
2014-08-16,Grey,Shih Tzu,M,Matched,lucky,2014-08-18
2014-08-18,Black,Lab X,,Lost,Marlie,2014-08-18
2014-08-18,Black,Shih Tzu,F,Lost,Millie,2014-08-18
2014-08-18,Black,,M,Lost,Precious,2014-08-18
2014-08-19,Black,Lhasa Apso,F,Lost,Soso,2014-08-19
2014-08-19,Black,.Unknown Breed Mix,X,Lost,,2014-08-19
2014-08-20,Red,Pomeranian,F,Lost,Sarah,2014-08-20
2014-08-21,Grey,Staffordshire Bull Terrier,F,Matched,Isis,2014-08-21
2014-08-22,White,Brussels Griffon,F,Lost,Chanelle,2014-08-22
2014-08-22,Black,Pit X,F,Lost,Kilo,2014-08-22
2014-08-22,Black,Short haired black cat,F,Lost,Little Snugs,2014-08-22
2014-08-22,Black,Rottie X,M,Lost,Max,2014-08-22
2014-08-23,Red,Golden Retriever,M,Lost,Bandit,2014-08-23
2014-08-23,Yellow,Budgy,F,Lost,Tweety,2014-08-23
2014-08-23,Black,Miniature Pinscher,F,Lost,Rolo,2014-08-23
2014-08-23,Black,DSH,F,Lost,Zuzu,2014-08-23
2014-08-23,White,Pit Bull,M,Lost,Forte,2014-08-23
2014-08-23,Grey,Schnauzer,F,Matched,Kilo,2014-08-23
2014-08-23,Grey,Pit X,F,Lost,,2014-08-23
2014-08-25,White,Blue Heeler,F,Lost,Puck,2014-08-25
2014-08-25,Brown,Papillon,M,Matched,Kilo,2014-08-25
2014-08-25,Black,French Bulldog,F,Matched,Vivian/ vivi,2014-08-25
2014-08-25,Grey,DSH,M,Lost,Meggie,2014-08-25
2014-08-25,,tabby,M,Lost,Tommy,2014-08-25
2014-08-25,Black,short hair,M,Lost,Charlie,2014-08-25
2014-08-26,Red,Husky,M,Lost,Kyle,2014-08-26
2014-08-26,Grey,DSH,,Lost,Coco,2014-08-26
2014-08-26,White,Maltese,F,Lost,,2014-08-26
2014-08-26,Black,American Short haired,M,Lost,Pharoah,2014-08-26
2014-08-26,Golden,Golden Retriever,M,Matched,Bandit,2014-08-26
2014-08-26,Tan,Pit Bull,F,Lost,,2014-08-26
2014-08-27,Orange,DSH,F,Lost,Kit,2014-08-27
2014-08-27,Black,Cat,M,Lost,,2014-08-27
2014-08-28,Black,short haired tortoiseshell,F,Lost,Harriot,2014-08-28
2014-08-29,Tan,Germ. Shepherd,F,Matched,,2014-08-29
2014-08-30,Blue,Parrolet,M,Matched,Finch,2014-08-30
2014-08-31,White,Tabby,M/N,Lost,Shin-Dian.,2014-08-31
2014-09-02,Bengal Markings,DSH,M/N,Lost,Unknown,2014-09-02
2014-09-02,White,Jack Russell Terrier,F/S,Lost,MJ,2014-09-02
2014-09-02,Brown,Germ. Shepherd,F/S,Lost,Teko,2014-09-02
2014-09-02,Orange/White/Grey,Calico,F,Lost,Sasha,2014-09-02
