,Date,Color,Breed,Sex,State,Name,DateCreated
83,2014-04-06,Black,Schipperke,F,Lost,Minly,2014-04-06
84,2014-04-06,Cream,Maltese,M,Lost,Teddy Bear,2014-04-06
85,2014-04-07,Black,Germ. Shepherd,F,Lost,,2014-04-07
86,2014-04-08,Red,Amer. Staffordshire,F/S,Lost,Taya,2014-04-08
87,2014-04-08,Blue,Budgie,X,Lost,Pickles,2014-04-08
88,2014-04-09,Brown,Labrador,M,Lost,Teddy,2014-04-09
89,2014-04-09,White,Chihuahua,F/S,Lost,Wink,2014-04-09
90,2014-04-09,Black,Germ. Shepherd,M,Lost,Max,2014-04-09
91,2014-04-09,White,,M,Lost,,2014-04-09
92,2014-04-10,Black,Blue Heeler,M,Lost,Buffy,2014-04-10
93,2014-04-10,Black,Germ. Shepherd,M,Lost,Tyson or Hansen?,2014-04-10
94,2014-04-10,White,Tabby Main Coon,,Lost,,2014-04-10
95,2014-04-11,Apricot,Tabby Cat,M,Lost,Myles,2014-04-11
96,2014-04-11,Cream,Chihuahua,F/S,Lost,Tiny,2014-04-11
97,2014-04-12,Brown,Heeler,F/S,Lost,Trout,2014-04-12
98,2014-04-13,White,Chihuahua,M,Lost,Smudge,2014-04-13
99,2014-04-13,,Muted calico,F,Lost,Nora,2014-04-13
100,2014-04-13,Grey,Maincoon.,M,Lost,Max,2014-04-13
101,2014-04-14,Black,DSH,M/N,Lost,,2014-04-14
102,2014-04-16,Brown,Chihuahua,F/S,Lost,Lucia,2014-04-16
103,2014-04-17,Black,Chihuahua,M,Lost,Kashi,2014-04-17
104,2014-04-17,Black,Aust. Shepherd,F,Lost,Bali,2014-04-17
105,2014-04-17,Red,Chihuahua,M,Lost,,2014-04-17
106,2014-04-19,Tan,Yorkie X,M,Lost,Kobe,2014-04-19
107,2014-04-20,Tan,Chihuahua,F,Lost,Lucia,2014-04-20
108,2014-04-20,Cream,Shih Tzu,M,Lost,Maisi,2014-04-20
109,2014-04-22,,.Unknown Breed Mix,M/N,Lost,,2014-04-22
110,2014-04-22,Black,Germ. Shepherd,M/N,Lost,Bing Lee,2014-04-23
111,2014-04-23,White,Miniature Poodle,M/N,Lost,Buddy,2014-04-23
112,2014-04-23,Black,Shih Tzu,M,Lost,Lancelot,2014-04-23
113,2014-04-23,Black,Shepherd X,F,Lost,Seeker,2014-04-23
114,2014-04-24,Cream,Cocker Spaniel,M/N,Lost,Chilly Bear,2014-04-24
115,2014-04-24,Black,.Unknown Breed Mix,F/S,Lost,Not given,2014-04-24
116,2014-04-25,Black,Germ. Shepherd,M/N,Lost,Avery,2014-04-25
117,2014-04-25,Golden,Goldendoodle,M,Lost,Sam,2014-04-25
118,2014-04-25,Brown,Chihuahua,M,Lost,JoJo,2014-04-26
119,2014-04-26,Brown,Abyssinian,F,Lost,,2014-04-26
120,2014-04-27,Black,Shih Tzu,F,Lost,Flower Pot,2014-04-27
121,2014-04-27,Brown,Boston Terrier,F,Lost,,2014-04-27
122,2014-04-29,Cream,Siamese,M,Lost,Sparkles,2014-04-29
123,2014-04-29,White,DMH,M/N,Lost,Gazoo,2014-04-29
124,2014-04-29,Black,Collie,F/S,Lost,Cassidy,2014-04-29
125,2014-04-30,Black,Bullmastiff,M,Lost,Rosco,2014-04-30
126,2014-05-01,Grey,Long hair,M,Lost,Timmy,2014-05-01
127,2014-05-01,Black,Toy Poodle,M,Lost,Oliver,2014-05-01
128,2014-04-18,Black,DSH,F/S,Lost,Miso,2014-05-01
129,2014-05-02,Grey,Tabby,M,Lost,Simon,2014-05-02
130,2014-05-03,Golden,Persian,M,Lost,Persy,2014-05-03
