,Date,Color,Breed,Purebred,CKC Class,dog_breed_type,Sex,State,pet_name,DateCreated,is_dog,sex_simple,date_created
42,2014-02-20,Black,Silky Terrier,Silkie Terrier,Toy Dog,toy,M,Lost,Charlie,2014-02-20,True,m,2014-02-20 00:00:00
43,2014-02-21,Black,DSH Cat,DSH Cat,,,M,Lost,,2014-02-21,False,m,2014-02-21 00:00:00
44,2014-02-22,Black,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,M,Lost,Gus,2014-02-22,True,m,2014-02-22 00:00:00
45,2014-02-27,Black,Pit X,Dog Crossbreed,Dog Crossbreed,crossbreed,F/S,Lost,Rossi,2014-02-27,True,f,2014-02-27 00:00:00
46,2014-03-02,Other,Calico Tabby Cat,Calico Cat,,,F,Lost,Crickett,2014-03-02,False,f,2014-03-02 00:00:00
47,2014-03-03,White,Tabby,Tabby Cat,,,M/N,Lost,Dexter,2014-03-03,False,m,2014-03-03 00:00:00
48,2014-03-03,White,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,M/N,Lost,Biggie,2014-03-04,True,m,2014-03-04 00:00:00
49,2014-03-05,Black,Short Haired Tabby Cat,Tabby Cat,,,F/S,Lost,Jewles,2014-03-05,False,f,2014-03-05 00:00:00
50,2014-03-06,White,Pitbull,Pitbull,Terrier,terrier,M,Lost,Zues,2014-03-06,True,m,2014-03-06 00:00:00
51,2014-03-09,Black,Beagle,Beagle,Hound,hound,F,Lost,Dobby,2014-03-09,True,f,2014-03-09 00:00:00
52,2014-03-10,Other,Bull Mastiff,Bull Mastiff,Working Dog,working,F,Lost,Cassie,2014-03-10,True,f,2014-03-10 00:00:00
53,2014-03-12,Black,Mixed Breed Cat,Cat,,,M,Lost,Basil,2014-03-12,False,m,2014-03-12 00:00:00
54,2014-03-13,Black,Bengal,Bengal Cat,,,M,Lost,Buddy,2014-03-13,False,m,2014-03-13 00:00:00
55,2014-03-13,Other,Amer. Staffordshire,American Staffordshire,Terrier,terrier,F/S,Lost,Taya,2014-03-13,True,f,2014-03-13 00:00:00
56,2014-03-14,White,Husky,Husky,Working Dog,working,F/S,Lost,Garbo,2014-03-14,True,f,2014-03-14 00:00:00
57,2014-03-17,Brown,Chihuahua,Chihuahua,Toy Dog,toy,M,Lost,Toby,2014-03-17,True,m,2014-03-17 00:00:00
58,2014-03-17,Other,Calico Cat,Calico Cat,,,F,Lost,Bubba,2014-03-17,False,f,2014-03-17 00:00:00
59,2014-03-19,Black,Newfoundland,Newfoundland,Working Dog,working,F,Lost,Bertha,2014-03-19,True,f,2014-03-19 00:00:00
60,2014-03-19,White,DLH Himalayan,Himalayan Cat,,,F/S,Lost,Neko,2014-03-19,False,f,2014-03-19 00:00:00
61,2014-03-16,Black,,,,,M,Lost,Benny,2014-03-20,False,m,2014-03-20 00:00:00
62,2014-03-20,Black,Boston Terrier,Boston Terrier,Non-Sporting Dog,nonsporting,M,Lost,Louie,2014-03-20,True,m,2014-03-20 00:00:00
